product_group_id,brand,color,type,category,season,print,sleeve,fit,other_tags,color_shade
2580,Scotch & Soda,Gray,Tops,Polos,SS19,Plain,Shortsleeve,None,Patch,Light
2425,Hackett,Navy,Tops,Casual Shirts,AW18,Dots,Longsleeve,Slim,Down,Dark
2426,Hackett,Red,Tops,Casual Shirts,AW18,Plain,Longsleeve,Slim,Button Down,Medium
2427,Hackett,Blue,Tops,Casual Shirts,AW18,Plain,Longsleeve,Slim,Button Down,Medium
2428,Hackett,Blue,Tops,Casual Shirts,AW18,Dots,Longsleeve,Slim,Button Down,Medium
2429,Hackett,White,Tops,Casual Shirts,AW18,Dots,Longsleeve,Slim,Down,Light
2430,Hackett,Blue,Tops,Casual Shirts,AW18,Plain,Longsleeve,Slim,Down,Medium
2431,Hackett,Pink,Tops,Casual Shirts,AW18,Plain,Longsleeve,Slim,Down,Light
2432,Hackett,White,Tops,Casual Shirts,AW18,Plain,Longsleeve,Slim,Down,Light
1093,Lacoste,Pink,Tops,Polos,SS16,Plain,Shortsleeve,Slim,None,Light
1095,Alternative Apparel,Blue,Tops,T-Shirt,SS15,Plain,Shortsleeve,Slim,V neck,Medium
2437,Hackett,Blue,Bottoms,Chinos,AW18,Plain,None,Slim,None,Medium
1083,BLUE MINT,White,Tops,Polos,AW14,Plain,Shortsleeve,Regular,None,Light
2439,Hackett,Blue,Tops,Blazer,AW18,Plain,Longsleeve,Slim,"Flap,Notched,2 button",Medium
2440,Hackett,Beige,Tops,Blazer,AW18,Plain,Longsleeve,Slim,"Flap,Notched,2 button",Light
2441,Hackett,Green,Tops,Blazer,AW18,Plain,Longsleeve,Slim,"Flap,Notched,2 button",Medium
2442,Hackett,Brown,Accessories,Belt,AW18,Plain,None,None,Formal,Dark
1069,Alternative Apparel,Gray,Tops,Hoodies,AW14,Plain,Longsleeve,Slim,None,Light
2444,Hackett,Navy,Accessories,Belt,AW18,Plain,None,None,Plaid,Dark
1053,Lacoste,Red,Bottoms,Jeans,AW15,Plain,None,Slim,None,Medium
2446,Hackett,Beige,Accessories,Belt,AW18,Stripe,None,None,Wide,Light
2447,Hackett,Navy,Accessories,Pocket Square,AW18,Plain,None,None,None,Dark
2448,Hackett,Navy,Shoes,Boots,AW18,Plain,None,None,None,Dark
2450,Hackett,Navy,Shoes,Sneakers,AW18,Plain,None,None,None,Dark
2420,Hackett,Navy,Tops,Casual Shirts,AW18,Plain,Longsleeve,Slim,Down,Dark
2434,Hackett,Beige,Bottoms,Chinos,AW18,Plain,None,Slim,None,Light
2436,Hackett,Beige,Bottoms,Chinos,AW18,Plain,None,Slim,None,Light
2452,Hackett,Navy/Red,Accessories,Pocket Square,AW18,Plain,None,None,None,Dark
2449,Hackett,Dark Brown,Shoes,Boots,AW18,Plain,None,None,None,Dark
2445,Hackett,Brown/Beige,Accessories,Belt,AW18,Plain,None,None,Plaid,Mixed
2443,Hackett,Brown,Accessories,Belt,AW18,Plain,None,None,Plaid,Dark
2422,Hackett,Maroon,Tops,Casual Shirts,AW18,Paisley,Longsleeve,Slim,Down,Dark
68,SuitSupply,Brown,Accessories,Pocket Square,AW14,Multi,None,None,None,Dark
63,Lacoste,White,Shoes,Sandal,AW14,Graphic,None,None,None,Light
60,SuitSupply,Yellow/Navy,Accessories,Pocket Square,AW14,Stripe,None,None,None,Mixed
46,one 90 One,Black,Tops,Casual Shirts,AW14,Check / plaid,Longsleeve,Regular,Cut Away,Dark
37,SuitSupply,Navy/Green/White,Accessories,Pocket Square,AW14,Check / plaid,None,None,None,Mixed
34,Damat,Orange,Accessories,Socks,AW14,Multi,None,None,Mid calf,Light
33,Damat,Brown,Tops,Blazer,AW14,Plain,Longsleeve,Slim,"Flap,Notched,2 button",Dark
32,ATELIER PRIVE,Blue,Tops,Formal Shirts,AW14,Check / plaid,Longsleeve,Comfort,Cut Away,Medium
17,AG Jeans,Gray,Tops,T-Shirt,AW14,Plain,Shortsleeve,Slim,V neck,Light
14,ATELIER PRIVE,White,Tops,Casual Shirts,SS14,Dots,Longsleeve,Slim,Cut Away,Light
10,SuitSupply,Red,Accessories,Pocket Square,AW14,Dots,None,None,None,Medium
100,ATELIER PRIVE,Green,Tops,Casual Shirts,SS15,Plain,Longsleeve,Slim,Cut Away,Medium
113,ATELIER PRIVE,White,Tops,Casual Shirts,SS15,Plain,Longsleeve,Slim,Cut Away,Light
135,SuitSupply,Brown,Accessories,Pocket Square,AW14,Dots,None,None,None,Dark
131,Japan Rags,White,Tops,T-Shirt,AW14,Graphic,Shortsleeve,Slim,Crew neck,Light
126,Alternative Apparel,Burgundy,Tops,T-Shirt,AW14,Plain,Shortsleeve,Slim,V neck,Dark
121,Alternative Apparel,Gray,Tops,T-Shirt,AW14,Plain,Longsleeve,Slim,Henley,Light
92,Japan Rags,Blue,Bottoms,Jeans,AW14,Plain,None,Slim,Dark,Medium
82,Lacoste,Beige,Bottoms,Shorts,SS15,Plain,None,Regular,Welt,Light
79,Japan Rags,White,Tops,T-Shirt,AW14,Graphic,Shortsleeve,Slim,Crew neck,Light
77,Alternative Apparel,Red,Bottoms,Chinos,AW14,Plain,None,Slim,None,Medium
164,ATELIER PRIVE,Navy,Tops,Casual Shirts,SS15,Floral,Longsleeve,Slim,Down,Dark
177,Lacoste,Blue,Shoes,Loafers,SS15,Plain,None,None,None,Medium
198,Lacoste,Navy,Bottoms,Shorts,SS16,Plain,None,Regular,Welt,Dark
2438,Hackett,Navy,Bottoms,Chinos,AW18,Plain,None,Slim,None,Dark
191,Japan Rags,Brown,Bottoms,Jeans,AW14,Plain,None,Slim,None,Dark
190,Mexx,Burgundy,Bottoms,Casual Trousers,AW14,Plain,None,Slim,Welt,Dark
185,Lacoste,Gray,Tops,Knitwear,AW14,Plain,Longsleeve,Comfort,None,Light
182,SuitSupply,Gray,Accessories,Ties,AW14,Multi,None,None,Regular,Light
179,Japan Rags,Brown,Bottoms,Jeans,AW14,Plain,None,Slim,None,Dark
175,Japan Rags,Blue,Tops,T-Shirt,AW14,Plain,Shortsleeve,Slim,V neck,Medium
169,SuitSupply,Black,Suits,Suits,AW14,Plain,Longsleeve,Slim,None,Dark
757,Lacoste,Blue,Bottoms,Jeans,SS15,Plain,None,Slim,Dark,Medium
167,ATELIER PRIVE,Pink,Tops,Formal Shirts,SS14,Plain,Longsleeve,Slim,Down,Light
160,LE COQ SPORTIF,White,Shoes,Sneakers,SS15,Plain,None,None,None,Light
159,SuitSupply,Blue,Tops,Blazer,AW14,Plain,Longsleeve,Slim,"Patch,Notched,2 button",Medium
158,ATELIER PRIVE,Navy,Bottoms,Chinos,AW14,Plain,None,Slim,None,Dark
157,AG Jeans,White,Tops,T-Shirt,AW14,Plain,Longsleeve,Regular,Crew neck,Light
154,Japan Rags,Orange,Tops,T-Shirt,AW14,Graphic,Shortsleeve,Regular,Crew neck,Light
235,Damat,Pink,Tops,Casual Shirts,SS15,Plain,Longsleeve,Slim,Cut Away,Light
249,Damat,White,Tops,Casual Shirts,SS15,Dots,Longsleeve,Slim,Cut Away,Light
255,ATELIER PRIVE,White,Tops,Casual Shirts,AW14,Dots,Longsleeve,Slim,Down,Light
247,Van Heusen,Blue,Tops,Casual Shirts,AW14,Plain,Longsleeve,Comfort,Down,Medium
246,AG Jeans,Blue,Bottoms,Jeans,AW14,Plain,None,Slim,Light,Medium
240,Japan Rags,Olive,Tops,T-Shirt,AW14,Graphic,Shortsleeve,Slim,Crew neck,Dark
225,ATELIER PRIVE,White,Tops,Casual Shirts,AW14,Plain,Longsleeve,Slim,Down,Light
220,ATELIER PRIVE,White,Tops,Formal Shirts,AW14,Plain,Longsleeve,Slim,Down,Light
208,Lacoste,Beige,Bottoms,Chinos,SS15,Plain,None,Slim,None,Light
325,Japan Rags,Blue,Tops,T-Shirt,AW14,Graphic,Shortsleeve,Regular,Crew neck,Medium
322,BLUE MINT,Blue,Bottoms,Swim,SS14,Plain,None,Regular,None,Medium
309,Mexx,Black,Tops,T-Shirt,AW14,Plain,Shortsleeve,Slim,Henley,Dark
305,Damat,Blue,Accessories,Socks,AW14,Multi,None,None,Mid calf,Medium
304,Japan Rags,Gray,Tops,T-Shirt,AW14,Graphic,Shortsleeve,Slim,Crew neck,Light
300,SuitSupply,Blue,Tops,Blazer,SS14,Plain,Longsleeve,Slim,"Ticket,Peaked,2 button",Medium
299,Lacoste,Gray,Tops,Polos,AW15,Plain,Shortsleeve,Slim,Welt,Light
294,Alternative Apparel,Gray,Tops,T-Shirt,AW14,Plain,Shortsleeve,Slim,V neck,Light
289,ATELIER PRIVE,White,Tops,Casual Shirts,AW14,Plain,Longsleeve,Slim,Mandarin,Light
283,Lacoste,Beige,Bottoms,Chinos,SS16,Plain,None,Slim,None,Light
280,Damat,Navy,Tops,Casual Shirts,AW14,Dots,Longsleeve,Slim,Cut Away,Dark
270,BLUE MINT,Yellow,Bottoms,Swim,SS14,Plain,None,Regular,None,Light
374,ATELIER PRIVE,Blue,Tops,Formal Shirts,SS15,Plain,Longsleeve,Regular,Down,Medium
382,Damat,Blue,Tops,Casual Shirts,SS15,Plain,Longsleeve,Slim,Down,Medium
392,Japan Rags,Gray,Tops,T-Shirt,AW14,Graphic,Shortsleeve,Slim,Crew neck,Light
389,Japan Rags,White,Tops,T-Shirt,AW14,Multi,Shortsleeve,Regular,Crew neck,Light
384,SuitSupply,Navy,Bottoms,Formal Trousers,AW14,Plain,None,Slim,None,Dark
377,SuitSupply,White,Tops,Casual Shirts,AW14,Check / plaid,Longsleeve,Slim,Cut Away,Light
375,Japan Rags,White,Tops,T-Shirt,AW14,Plain,Shortsleeve,Slim,V neck,Light
367,SuitSupply,Brown,Shoes,Derby,AW14,Plain,None,None,None,Dark
363,Lacoste,Blue,Tops,Sweatshirts,AW14,Plain,Longsleeve,Slim,None,Medium
358,Mexx,Navy,Bottoms,Casual Trousers,AW14,Plain,None,Slim,Welt,Dark
348,SuitSupply,Black,Shoes,Derby,AW14,Plain,None,None,None,Dark
344,SuitSupply,Gray,Accessories,Pocket Square,AW14,Dots,None,None,None,Light
342,SuitSupply,Brown,Tops,Blazer,AW14,Plain,Longsleeve,Slim,"Patch,Notched,2 button",Dark
