Type,Brand,Category,Fit,Size,Found,Size_type
Tops,Guards London,Coats,Tailored,,,Numeric
Tops,Guards London,Blazer,Regular,,,Numeric
Tops,Guards London,Casual Outerwear,Tailored,,,Numeric
Tops,Harris Wharf,Blazer,Tailored,,,Numeric
Tops,Drake's,Formal Shirts,Slim,,,Numeric
Tops,Hilditch & Key,Formal Shirts,Regular,,,Numeric
Tops,Hilditch & Key,Formal Shirts,None,,,Numeric
Tops,Emmett,Formal Shirts,Slim,,,Numeric
Tops,Emmett,Formal Shirts,Regular,,,Numeric
Tops,Emmett,Formal Shirts,None,,,Numeric
Tops,Mocha Salt,T-Shirt,Regular,,,Categorical
Tops,Emma Willis,Formal Shirts,Slim,,,Numeric
Tops,Emma Willis,Formal Shirts,None,,,Numeric
Tops,Emma Willis,Casual Shirts,Regular,,,Numeric
Tops,Hackett,Polos,Slim,,,Categorical
Tops,Hackett,Casual Shirts,Slim,,,Categorical
Tops,Hackett,Casual Shirts,Regular,,,Categorical
Tops,Hackett,Blazer,Regular,,,Numeric
Tops,Hackett,Blazer,Slim,,,Numeric
Tops,Hackett,Formal Shirts,Slim,,,Categorical
Tops,Hackett,Formal Shirts,Regular,,,Categorical
Tops,Dead Legacy,T-Shirt,Regular,,,Categorical
Tops,EDEN PARK,T-Shirt,Slim,,,Categorical
Tops,EDEN PARK,Casual Shirts,Slim,,,Categorical
Tops,EDEN PARK,Polos,Slim,,,Categorical
Tops,Diesel,Sweaters,Slim,,,Categorical
Tops,Diesel,Sweaters,Regular,,,Categorical
Tops,Diesel,Casual Shirts,Slim,,,Categorical
Tops,Diesel,Casual Shirts,Regular,,,Categorical
Tops,Diesel,T-Shirt,Slim,,,Categorical
Tops,Diesel,Casual Outerwear,Slim,,,Categorical
Tops,Diesel,Polos,Slim,,,Categorical
Tops,Diesel,Knitwear,Slim,,,Categorical
Tops,Diesel,Hoodies,Slim,,,Categorical
Tops,MONSIEUR FOX,Polos,Slim,,,Categorical
Tops,Van Gils,Casual Shirts,Regular,,,Numeric
Tops,Van Gils,Casual Shirts,Slim,,,Numeric
Tops,Van Gils,Blazer,Slim,,,Numeric
Tops,Van Gils,Polos,Slim,,,Categorical
Tops,Van Gils,Sweaters,Slim,,,Categorical
Tops,Van Gils,Vest,Slim,,,Categorical
Tops,Carter & White,T-Shirt,Slim,,,Categorical
Tops,Mexx,Sweaters,Slim,,,Categorical
Tops,Mexx,Blazer,Slim,,,Numeric
Tops,Mexx,Formal Shirts,Slim,,,Numeric
Tops,Mexx,T-Shirt,Slim,,,Categorical
Tops,Mexx,Casual Shirts,Slim,,,Categorical
Tops,AG Jeans,T-Shirt,Slim,,,Categorical
Tops,AG Jeans,T-Shirt,Regular,,,Categorical
Tops,AG Jeans,Casual Shirts,Slim,,,Categorical
Tops,AG Jeans,Polos,Regular,,,Categorical
Tops,ATELIER PRIVE,Casual Shirts,Slim,,,Categorical
Tops,ATELIER PRIVE,Casual Shirts,Regular,,,Categorical
Tops,ATELIER PRIVE,Formal Shirts,Regular,,,Categorical
Tops,ATELIER PRIVE,Formal Shirts,Slim,,,Categorical
Tops,ATELIER PRIVE,Formal Shirts,Comfort,,,Categorical
Tops,ATELIER PRIVE,Sweaters,Slim,,,Categorical
Tops,ATELIER PRIVE,Blazer,Slim,,,Numeric
Tops,SuitSupply,Blazer,Slim,,,Numeric
Tops,SuitSupply,Formal Shirts,Slim,,,Numeric
Tops,SuitSupply,Vest,Slim,,,Numeric
Tops,SuitSupply,Sweaters,Slim,,,Categorical
Tops,SuitSupply,Casual Shirts,Slim,,,Numeric
Tops,SuitSupply,Knitwear,Slim,,,Categorical
Tops,SuitSupply,Coats,Slim,,,Categorical
Tops,Damat,Formal Shirts,Slim,,,Categorical
Tops,Damat,Formal Shirts,Comfort,,,Categorical
Tops,Damat,Casual Shirts,Slim,,,Categorical
Tops,Damat,Casual Shirts,Regular,,,Categorical
Tops,Damat,Blazer,Slim,,,Numeric
Tops,Cordone,Casual Shirts,Slim,,,Numeric
Tops,Cordone,Casual Shirts,Regular,,,Categorical
Tops,Cordone,Formal Shirts,Slim,,,Numeric
Tops,one 90 One,Casual Shirts,Regular,,,Categorical
Tops,one 90 One,Casual Shirts,Comfort,,,Categorical
Tops,one 90 One,Casual Shirts,Slim,,,Categorical
Tops,one 90 One,T-Shirt,Slim,,,Categorical
Tops,one 90 One,T-Shirt,Regular,,,Categorical
Tops,one 90 One,Knitwear,Slim,,,Categorical
Tops,one 90 One,Sweatshirts,Slim,,,Categorical
Tops,Japan Rags,Casual Shirts,Slim,,,Categorical
Tops,Japan Rags,Blazer,Slim,,,Categorical
Tops,Japan Rags,T-Shirt,Slim,,,Categorical
Tops,Japan Rags,T-Shirt,Regular,,,Categorical
Tops,Van Heusen,Casual Shirts,Slim,,,Categorical
Tops,Van Heusen,Casual Shirts,Comfort,,,Categorical
Tops,Van Heusen,Casual Outerwear,Slim,,,Categorical
Tops,Van Heusen,Polos,Slim,,,Categorical
Tops,LE COQ SPORTIF,T-Shirt,Regular,,,Categorical
Tops,Valentino,Polos,Regular,,,Categorical
Tops,Gym Clothes Company,T-Shirt,Slim,,,Categorical
Bottoms,Ralph Lauren,Chinos,Slim,,,Numeric
Bottoms,Ralph Lauren,Chinos,Regular,,,Numeric
Bottoms,Ralph Lauren,Shorts,Comfort,,,Categorical
Bottoms,Ralph Lauren,Shorts,Regular,,,Numeric
Bottoms,Vilebrequin,Swim,Regular,,,Categorical
Bottoms,Reiss,Chinos,Slim,,,Numeric
Bottoms,Reiss,Formal Trousers,Slim,,,Numeric
Bottoms,Reiss,Formal Trousers,None,,,Numeric
Bottoms,Reiss,Formal Trousers,Regular,,,Numeric
Bottoms,Reiss,Swim,Regular,,,Categorical
Bottoms,Reiss,Shorts,Regular,,,Numeric
Bottoms,Reiss,Shorts,Slim,,,Numeric
Bottoms,Campione,Chinos,None,,,Numeric
Bottoms,Campione,Chinos,Slim,,,Numeric
Bottoms,Campione,Jeans,None,,,Numeric
Bottoms,FREDS,Swim,None,,,Categorical
Bottoms,FREDS,Swim,Regular,,,Categorical
Bottoms,Hackett,Chinos,Slim,,,Numeric
Bottoms,Hackett,Chinos,Regular,,,Numeric
Bottoms,Hackett,Shorts,Slim,,,Numeric
Bottoms,Hackett,Shorts,Regular,,,Numeric
Bottoms,Hackett,Jeans,Slim,,,Numeric
Bottoms,Hackett,Casual Trousers,Slim,,,Numeric
Bottoms,Claudio Sartore,Formal Trousers,None,,,Numeric
Bottoms,Claudio Sartore,Chinos,Slim,,,Numeric
Bottoms,Claudio Sartore,Chinos,None,,,Numeric
Bottoms,Cavanni,Jeans,Slim,,,Numeric
