,user_id,user_weight,user_height,user_shirts_fit,user_pants_fit,user_waist_size,user_shirt_size,user_blazer_size,type,brand,category,fit,purchased,reason,size
37690,14100,70.0,170.0,Slim Fit,Skinny Fit,30,S,No idea,Tops,Scotch & Soda,T-Shirt,Regular,yes,,S
37691,1806,82.0,181.0,Slim Fit,Slim Fit,34,L,50,Tops,Claudio Sartore,T-Shirt,None,yes,,L
37692,2439,82.0,185.0,,,32,,,Tops,Scotch & Soda,Casual Shirts,Slim,no,TOO BIG,XL
37693,40239,76.0,168.0,Slim Fit,Slim Fit,32,M,48,Bottoms,Scotch & Soda,Chinos,Slim,yes,,32/34
37694,1468,98.0,182.0,Slim Fit,Regular Fit,33,M,,Accessories,Hackett,Belt,None,no,TOO SMALL,XL
37695,2282,98.0,180.0,,,36,L,,Tops,Alternative Apparel,T-Shirt,Slim,no,TOO BIG,L
37696,2282,98.0,180.0,,,36,L,,Bottoms,Ralph Lauren,Chinos,Slim,no,TOO SMALL,34/34
37697,2444,79.0,174.0,,,34,L,52,Shoes,J Shoes,Brogues,None,yes,NONE,43
37698,2443,90.0,181.0,,,36,L,52,Tops,Hackett,Blazer,Slim,no,TOO SMALL,50
37699,2441,85.0,187.0,,,36,L,52,Bottoms,Hackett,Chinos,Slim,yes,NONE,36
37700,2399,106.0,179.0,,,,,,Tops,Hackett,Casual Shirts,Slim,no,TOO BIG,XXL
37701,2399,106.0,179.0,,,,,,Bottoms,Scotch & Soda,Chinos,Slim,no,TOO SMALL,38
37702,2447,72.0,176.0,,,30,M,,Tops,Scotch & Soda,Casual Shirts,Slim,yes,,M
37703,1911,94.0,183.0,,,33,XL,52,Bottoms,Hackett,Chinos,Regular,no,TOO SMALL,33
37704,2479,79.0,170.0,,,34,S,,Tops,Hackett,Casual Shirts,Slim,no,TOO BIG,L
37705,41392,83.0,173.0,Regular Fit,Regular Fit,32,M,No idea,Shoes,Claudio Sartore,Loafers,None,yes,,42
37706,41392,83.0,173.0,Regular Fit,Regular Fit,32,M,No idea,Tops,Cavanni,Blazer,Slim,no,TOO SMALL,40
37707,41392,83.0,173.0,Regular Fit,Regular Fit,32,M,No idea,Bottoms,Hackett,Chinos,Regular,no,TOO SMALL,32
37708,41392,83.0,173.0,Regular Fit,Regular Fit,32,M,No idea,Bottoms,Scotch & Soda,Chinos,Regular,yes,NEED ALTERATION,32/34
37709,41517,109.0,173.0,Regular Fit,Regular Fit,40,XL,54,Tops,Ralph Lauren,Casual Shirts,Regular,no,TOO BIG,XXL
37710,41517,109.0,173.0,Regular Fit,Regular Fit,40,XL,54,Tops,Scotch & Soda,Casual Shirts,Regular,no,TOO SMALL,XL
37711,41517,109.0,173.0,Regular Fit,Regular Fit,40,XL,54,Tops,Scotch & Soda,Casual Shirts,Regular,no,TOO SMALL,XL
37712,41517,109.0,173.0,Regular Fit,Regular Fit,40,XL,54,Shoes,Matte,Loafers,None,no,TOO SMALL,45
37713,13344,105.0,180.0,Regular Fit,Regular Fit,36,XL,44,Tops,Scotch & Soda,Casual Shirts,Regular,no,TOO SMALL,XL
37714,41438,95.0,186.0,Slim Fit,Regular Fit,35,L,No idea,Tops,Hackett,Blazer,Slim,no,TOO BIG,44
37715,14100,70.0,170.0,Slim Fit,Skinny Fit,30,S,No idea,Accessories,Hackett,Belt,None,no,TOO SMALL,S
37716,14100,70.0,170.0,Slim Fit,Skinny Fit,30,S,No idea,Tops,Scotch & Soda,T-Shirt,None,yes,,S
37717,14100,70.0,170.0,Slim Fit,Skinny Fit,30,S,No idea,Accessories,Happy Socks,Socks,None,yes,,U
37718,14100,70.0,170.0,Slim Fit,Skinny Fit,30,S,No idea,Accessories,Happy Socks,Socks,None,yes,,39-42
37719,1806,82.0,181.0,Slim Fit,Slim Fit,34,L,50,Accessories,Happy Socks,Socks,None,yes,,41-46
